ID,Mutation_Class,Mutant_Status,Line_Number,Mutation_Type,Test_Name
45: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1587..1760)),Ignored,65,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest2
45: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1587..1760)),Ignored,65,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest3
46: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1602..1614)),Killed,66,Equality mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodCorrectParameterTest
46: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1602..1614)),Killed,66,Equality mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest1
46: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1602..1614)),Killed,66,Equality mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest2
46: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1602..1614)),Killed,66,Equality mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest3
47: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1625..1707)),Ignored,67,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest3
48: Statement mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1640..1696)),Killed,68,Statement mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest3
49: String mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1668..1694)),Survived,68,String mutation,BankomatUJ.Tests.tests.AtmTest.WithdrawFundsMethodIncorrectParameterTest3
50: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1858..2333)),Ignored,76,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodCorrectParameterTest1
50: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1858..2333)),Ignored,76,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodCorrectParameterTest2
50: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1858..2333)),Ignored,76,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest1
50: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1858..2333)),Ignored,76,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest2
50: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1858..2333)),Ignored,76,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest3
50: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1858..2333)),Ignored,76,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest4
51: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1873..1885)),Killed,77,Equality mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodCorrectParameterTest1
51: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1873..1885)),Killed,77,Equality mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodCorrectParameterTest2
51: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1873..1885)),Killed,77,Equality mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest1
51: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1873..1885)),Killed,77,Equality mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest2
51: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1873..1885)),Killed,77,Equality mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest3
51: Equality mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1873..1885)),Killed,77,Equality mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest4
52: Block removal mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1896..1978)),Ignored,78,Block removal mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest4
53: Statement mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1911..1967)),Killed,79,Statement mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest4
54: String mutation,SourceFile(C:\Users\pawek\RiderProjects\Bankomat\BankomatUJ\common\Atm.cs[1939..1965)),Survived,79,String mutation,BankomatUJ.Tests.tests.AtmTest.TransferMethodIncorrectParameterTest4
